Sexo;Ciclo;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Total;Total trabajando;90.506
Ambos sexos;Total;Título universitario;17.969
Ambos sexos;Total;Formación profesional de grado superior;46.756
Ambos sexos;Total;Formación profesional de grado medio / bachillerato;11.386
Ambos sexos;Total;Formación profesional básica;3.760
Ambos sexos;Total;ESO, EGB, etc ...;8.989
Ambos sexos;Total;No consta;1.646
Ambos sexos;01 - AGRARIA;Total trabajando;1.438
Ambos sexos;01 - AGRARIA;Título universitario;121
Ambos sexos;01 - AGRARIA;Formación profesional de grado superior;753
Ambos sexos;01 - AGRARIA;Formación profesional de grado medio / bachillerato;156
Ambos sexos;01 - AGRARIA;Formación profesional básica;137
Ambos sexos;01 - AGRARIA;ESO, EGB, etc ...;252
Ambos sexos;01 - AGRARIA;No consta;18
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Total trabajando;1.064
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Título universitario;71
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Formación profesional de grado superior;537
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Formación profesional de grado medio / bachillerato;118
Ambos sexos;Técnico superior en gestión forestal y del medio natural;Formación profesional básica;111
Ambos sexos;Técnico superior en gestión forestal y del medio natural;ESO, EGB, etc ...;214
Ambos sexos;Técnico superior en gestión forestal y del medio natural;No consta;13
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Total trabajando;374
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Título universitario;49
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Formación profesional de grado superior;216
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Formación profesional de grado medio / bachillerato;39
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;Formación profesional básica;26
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;ESO, EGB, etc ...;38
